author and year,case,population,birth_prevalence_100k,"95 CI, lower_bound (poisson dist)","95 CI, upper_bound (poisson dist)",average birth prevalence_100k,95CI lower bound average,95CI upper bound average,pooled birth prevalence (inverse) per 100K,"95 CI, lower_bound (inverse)","95 CI, upper_bound (inverse)",Q_statistic,I2_statistic
"Poupetova, 2010",8,3362889,0.23789069457838188,0.0892090104668932,0.41630871551216825,0.2507255128445716,0.1407920187511825,0.37608826926685734,0.18938431844705148,0.1519254095935615,0.22684322730054146,31.805267905131302,0.7799106732608073
"Dionisi-Vici, 2002",22,7173959,0.30666470215399894,0.18121096036372664,0.44605774858763486,0.2507255128445716,0.1407920187511825,0.37608826926685734,0.18938431844705148,0.1519254095935615,0.22684322730054146,31.805267905131302,0.7799106732608073
"Poorthuis, 1999",30,7358444,0.40769488766918655,0.2717965917794577,0.5571830131478883,0.2507255128445716,0.1407920187511825,0.37608826926685734,0.18938431844705148,0.1519254095935615,0.22684322730054146,31.805267905131302,0.7799106732608073
"Hult, 2014",10,2080791,0.480586469280192,0.1922345877120768,0.8169969977763264,0.2507255128445716,0.1407920187511825,0.37608826926685734,0.18938431844705148,0.1519254095935615,0.22684322730054146,31.805267905131302,0.7799106732608073
"Czatoryska, 1993",11,11951872,0.09203579154796838,0.041834450703621996,0.15060402253303917,0.2507255128445716,0.1407920187511825,0.37608826926685734,0.18938431844705148,0.1519254095935615,0.22684322730054146,31.805267905131302,0.7799106732608073
"Smith, 2011",33,15192000,0.21721958925750393,0.14481305950500262,0.2962085308056872,0.2507255128445716,0.1407920187511825,0.37608826926685734,0.18938431844705148,0.1519254095935615,0.22684322730054146,31.805267905131302,0.7799106732608073
"Applegarth, 1999",3,1035816,0.28962672907157255,0.0,0.6757957011670026,0.2507255128445716,0.1407920187511825,0.37608826926685734,0.18938431844705148,0.1519254095935615,0.22684322730054146,31.805267905131302,0.7799106732608073
"Chin, 2022",13,3693759,0.3519449969529685,0.16243615243983162,0.5685265335394106,0.2507255128445716,0.1407920187511825,0.37608826926685734,0.18938431844705148,0.1519254095935615,0.22684322730054146,31.805267905131302,0.7799106732608073
