author and year,case,population,birth_prevalence,birth_prevalence_100k,margin_of_error,margin_of_error_100k,"95 CI, lower_bound (poisson dist)","95 CI, upper_bound (poisson dist)",weight per study,weighted birth prevalence per study,average birth prevalence,average birth prevalence_100k,95CI lower bound weighted,95CI upper bound weighted,95CI lower bound average,95CI upper bound average,std error per 100K,cofficient per study,weight per study (inverse),weighted birth prevalence per study (inverse) per 100K,pooled birth prevalence (inverse) per 100K,std error (inverse) per 100K,margin of error (inverse) per 100K,"95 CI, lower_bound (inverse)","95 CI, upper_bound (inverse)",weight_prev_square,weight_prev,Q_statistic,freedom_degree,I2_statistic
"Poupetova, 2010",8,3362889,2.3789069457838188e-06,0.23789069457838188,1.6484964476986833e-06,0.16484964476986833,0.0892090104668932,0.41630871551216825,0.06485862070495142,1.5429262328896714e-07,2.507255128445716e-06,0.2507255128445716,0.005785973373336267,0.027001209075569247,0.1407920187511825,0.37608826926685734,0.08410696161727976,141.36311661871247,0.051633814945330286,0.012283204101076257,0.18938431844705148,0.019111688190556114,0.037458908853489986,0.1519254095935615,0.22684322730054146,8.00001903130084,33.62897000019031,31.805267905131302,7,0.7799106732608073
"Dionisi-Vici, 2002",22,7173959,3.0666470215399892e-06,0.30666470215399894,1.2814682650222263e-06,0.12814682650222262,0.18121096036372664,0.44605774858763486,0.1383611191846869,4.2430471404465956e-07,2.507255128445716e-06,0.2507255128445716,0.025072551284457158,0.06171704931558686,0.1407920187511825,0.37608826926685734,0.06538103392970543,233.93566164210452,0.08544655035387717,0.026203440914358417,0.18938431844705148,0.019111688190556114,0.037458908853489986,0.1519254095935615,0.22684322730054146,22.00006746644137,71.73981000067465,31.805267905131302,7,0.7799106732608073
"Poorthuis, 1999",30,7358444,4.0769488766918656e-06,0.40769488766918655,1.4589144448632983e-06,0.14589144448632982,0.2717965917794577,0.5571830131478883,0.14191920351062007,5.785973373336267e-07,2.507255128445716e-06,0.2507255128445716,0.03857315582224178,0.07907496943559567,0.1407920187511825,0.37608826926685734,0.0744344104522091,180.48972951785336,0.06592506953984302,0.026877313820629613,0.18938431844705148,0.019111688190556114,0.037458908853489986,0.1519254095935615,0.22684322730054146,30.000122308964947,73.5847400012231,31.805267905131302,7,0.7799106732608073
"Hult, 2014",10,2080791,4.80586469280192e-06,0.480586469280192,2.978698639307429e-06,0.29786986393074294,0.1922345877120768,0.8169969977763264,0.04013133773825915,1.9286577911120893e-07,2.507255128445716e-06,0.2507255128445716,0.007714631164448356,0.032787182448905515,0.1407920187511825,0.37608826926685734,0.15197442037282802,43.29711993691001,0.015814559921723263,0.007600263516001012,0.18938431844705148,0.019111688190556114,0.037458908853489986,0.1519254095935615,0.22684322730054146,10.000048058877892,20.80801000048059,31.805267905131302,7,0.7799106732608073
"Czatoryska, 1993",11,11951872,9.203579154796839e-07,0.09203579154796838,5.438965207846649e-07,0.054389652078466494,0.041834450703621996,0.15060402253303917,0.23051071051174427,2.121523570223298e-07,2.507255128445716e-06,0.2507255128445716,0.009643288955560447,0.0347158402400176,0.1407920187511825,0.37608826926685734,0.027749822489013518,1298.612507046336,0.474326822146804,0.04365504452871353,0.18938431844705148,0.019111688190556114,0.037458908853489986,0.1519254095935615,0.22684322730054146,11.000010123946387,119.51883000010122,31.805267905131302,7,0.7799106732608073
"Smith, 2011",33,15192000,2.1721958925750393e-06,0.21721958925750393,7.411355027948141e-07,0.07411355027948141,0.14481305950500262,0.2962085308056872,0.2930016916257486,6.364570710669894e-07,2.507255128445716e-06,0.2507255128445716,0.04243047140446596,0.08678960060004401,0.1407920187511825,0.37608826926685734,0.03781303585687827,699.3859555669366,0.2554553540476059,0.05548990707985119,0.18938431844705148,0.019111688190556114,0.037458908853489986,0.1519254095935615,0.22684322730054146,33.00007168262017,151.92033000071686,31.805267905131302,7,0.7799106732608073
"Applegarth, 1999",3,1035816,2.8962672907157257e-06,0.28962672907157255,3.2774302257147815e-06,0.32774302257147814,0.0,0.6757957011670026,0.019977345985585596,5.7859733733362675e-08,2.507255128445716e-06,0.2507255128445716,0.0,0.013500604537784624,0.1407920187511825,0.37608826926685734,0.1672158278425909,35.763929777099996,0.013063012304753667,0.003783397525647509,0.18938431844705148,0.019111688190556114,0.037458908853489986,0.1519254095935615,0.22684322730054146,3.0000086888270365,10.358190000086887,31.805267905131302,7,0.7799106732608073
"Chin, 2022",13,3693759,3.519449969529685e-06,0.3519449969529685,1.913191430229286e-06,0.1913191430229286,0.16243615243983162,0.5685265335394106,0.07123997073840399,2.5072551284457157e-07,2.507255128445716e-06,0.2507255128445716,0.011571946746672534,0.040501813613353865,0.1407920187511825,0.37608826926685734,0.0976118076647595,104.95310437782304,0.03833481674006266,0.013491746960773958,0.18938431844705148,0.019111688190556114,0.037458908853489986,0.1519254095935615,0.22684322730054146,13.000045753010623,36.93772000045751,31.805267905131302,7,0.7799106732608073
